Timestamp,City,Country,Temperature (°C),Feels Like (°C),Humidity (%),Condition,Wind Speed (m/s)
2025-11-22 17:47:36,Paris,FR,0.98,-3.77,97,Mist,5.14
2025-11-22 17:52:48,Guntur,IN,26.43,26.43,76,Broken clouds,3.25
